id,text,is,category2
21,A mí ese feminismo de odiar al hombre no me representa,1,1
22,Apoyo a las feministas pero no a las feminazis,1,1
23,Esta lucha del feminismo no va conmigo,1,1
24,Si fueras feminista de verdad te quejarías de la ablación o de la esclavitud infantil y no de tonterías,1,1
25,El feminismo es una moda,1,1
26,Se llenan mas los Mister Donuts que sus marchas   Marches   Marchxs   Marchts... En Fin Patriarcado,1,1
27,Quiero hacer una denuncia internacional   no le crean a estas viejas mentirosas    que solo cuando les conviene dicen que defienden a la mujer   estan resentidas y no son feministas   son aprovechadas.,1,1
28,Habia un grupo de féminas que les hiba mejor subiendo fotos de sus festivales gastronomicos   de sus desfiles de culo   de sus cuernos... pero hoy segun ell@s son unas expertas pensantes analistas politicas 😅 cacareando ecos de fuentes chayoteras   🖕definitivamente IRRELEVANTES.,1,1
29,No Confundamos las Verdaderas Féminas Guerreras con las Vandalas Feministas financiadas por intereses Oscuros,1,1
30,Féminas contra féminas que absurda nuestra sociedad,1,1
31,AY Dios Santísimo!!!! Pero si es que a las féminas  féminis  fémines   feministas   feministos  feministes   jajahajaaja!!! de plano que se les cruzaron los cables!!!! Y ya no encuentran a qué más chifladuras recurrir para llamar la atención!!! Juajua🤣🤣🤣4,1,1
32,Lamentablemente las féminas organizadas nacional e internacionalmente son manipuladas de forma prepago para chantajes económicos y políticos.,1,1
33,"Aquí no se pronuncian las feministas por la igualdad de derechos   basura de HDP ese maricon pero más lamentable esos ""Influencers"" que contrata la televisión.",1,1
34,La dictadura del matriarcado a comenzado,1,1
35,De lo que usted habla papa es del hembrismo que es lo que disfrazan muchas personas de feminismo   el hembrismo es la otra versión del machismo   el feminismo está bien las otras dos no,1,1
36,Muchos diríamos que es al revés: la Ideología de Género busca evitar que nos expresemos contra la heterofobia   el hembrismo   contra el aborto y feminismo radical al que quieren someter a la Mayoría.,1,1
37,Jajajaja aprovechando que tu coment esta fuera de contexto.... contame porque no hay ninguna feminista ridícula en ucrania protestando por la muerte de niñas y mujeres... ahí no llega la sorosidad o que ondas? Ustedes y su asqueroso chiste feminista dan pena...,1,1
38,"Como queda de mas este tipo de actos de vandalas y resentidas sociales que recurren a la violencia a quienes no tienen vela en este entierro.
Mejor vayan a cantarles esto a los politicos y no hagan ridiculo con su estereotipo sexista.",1,1
39,"Y lastima que la humildad y pocos recursos no le quiten lo feminista sexista y sobre todo lo ignorante a las disque ""mujeres""",1,1
40,¿Las feministas también van a cobrar los $300 del estado opresor?,1,1
41,Jajaja las pinches feministas todo es ataque para ustedes así de inservible su pensamiento,1,1
42,"No hable kk maitro. Eso es una falacia feminista. Las mujeres ganan menos   porque trabajan menos.

Y la mayoría no aceptan trabajos que históricamente lo han hecho hombres por la responsabilidad que conllevan.",1,1
43,"Reducción de la violencia contra las mujeres   y sin necesidad de las marchas destructivas de las ""feminazis""",1,1
44,"Ya veo a las feminasis las tóxicas y algunos ""hombres"" creando el Hastap #SiHayViolenciaContraLaMujer y también #bukelemiente",1,1
45,Feliz día a las mujeres que exigen los mismos derechos para las mujeres y para los hombres y no “trato preferencial “   para las que quieren leyes que castiguen a los delincuentes sean quienes sean #Luchadoras #Fuertes #NoALaIdeologíaDeGenero,1,1
46,Exbanquero se convierte en un “reptil sin género” Cuando La ideología de genero llega demasiado lejos #NoAlaIdeologiaDeGenero,1,1
47,La defensa de una mujer débil de carácter (usualmente latina) redunda en feminismos y otros complejos de ese estilo.,1,1
48,"Dejemos de llamarle ""Feministas"" a las locas que salen desnudas a gritar y dañar propiedades   esas son locas y punto.",1,1
49,Me encanta ver la reacción de cucarachas rociadas de Baygon   cuando uno critica una publicación de feministas resentidas.,1,1
50,Es grande la necesidad de amor que estas mujeres feministas tienen.,1,1
51,Ni machismo ni feminismo   igualdad,1,1
52,Porque será que el 99.99 de las marimachonas que están a favor del aborto es 100% seguro que jamás ningún hombre en su sano juicio les tocaría un solo pelo y entre ellas imposible embarazar   así que jamás podrían tener el dilema de si o no. Es q son lo peor en físico que existe.,1,1
53,"Muchos me han llamado...recordando la historia del escándalo de las sepulcros blanqueados   de las que hablan de la no violencia contra la mujer y juntas ...en vaca fueron a cachimbear a una...
 Fue escándalo público y notorio...y hoy se las pican de pulcras. Una es funcionaria",1,1
54,Después se quejan las feminazis de que las ofenden. ¿No será que se han puesto de acuerdo para sacar dinero a la gente?,1,1
55,"Para creerles feminazis   pongan el video y entonces...
 Lo que veo en la foto   es que está parado esperando que ustedes pasen en dónde están claramente pisoteando el derecho de libre circulación de los otros ciudadanos…",1,1
56,Claro que sí tengo(mujer   madre   hija) y son personas de bien que no necesitan sacarse las tetas o manchar paredes para hacer valer sus derechos.,1,1
57,"No se justifica debe actuar la ley   pero la marcha no era pacífica   era una marcha de malas habladas   acusadoras   hubo agresión verbal   mientras pedían ""respeto""",1,1
58,"A nadie que ande en paz y afán le agranda encontrarse con marchas   manifestaciones   calles cerradas por que son actividades que entorpecen las actividades de los demás.... y nunca sirven para nada esas ""marchas""",1,1
59,Y es hombre o es macha ? Parece feminista = macha,1,1
60,Y debe ser feminista porque tiene cara de hombre . Tan malles pagan que ni para maquillaje le alcanza,1,1
61,Busquen oficio p1nch3s vandalas que salen solo ha joder gente. Una verdadera mujer   trabaja   cuida de sus hijos   se realiza como mujer de verdad y no como adefesios que dañan la imagen de ese género.,1,1
62,"Jajajajajaj @user   la defensora de misoginos... jajajajaja gran referente de la hipocresía ""feminista""",1,1
63,@user es una tipa con problemas sicologicos y no es superior en nada y a nadie de que hablas? Es una feministas de cartón con ideas estúpidas de una sociedad que no existe Cual humillación?.....por favor si las cosas se toman de quien vienen,1,1
64,Pobres TRASTORNADAS 🤦🏻‍♀️Sólo aclarar que no estoy en contra de los derechos de la mujer   es solo que estas personas han equivocado el rumbo Y... ¡NO ME REPRESENTAN!,1,1
65,Bien raro q salen a marchar en contra de la violencia y gritandoles grocerias a otras mujeres. Dan asco🤮🤮 puro activismo politico.,1,1
66,Feminista de mierda solo sirven para joder solo son lengua las hipócritas ofendiendo y de gradando a otras mujer y esa bandera mierdera de feminismo sólo la usan cuando les conviene y cuando no se cagan en ella hipócritas corrupta delincuente mal pisada bajeras,1,1
67,Las verdaderas feministas no se comportan de esa manera tan primitiva.,1,1
68,A mi esas feministas que odian a los hombres no me representan,1,1
69,Las mujeres marchan y luego se agarran ellas mismas   porque son mas machistas que los hombres,1,1
70,Las feministas alegan por todo,1,1
71,El feminismo no ayuda a nuestras sociedades y hace que el masculinísimo tome represarías,1,1
72,Que bonitas las feministas?,1,1
73,De dónde sacan tanto dinero para pagar a todas las revoltosas?,1,1
74,Organizaciones? Parásitos de la sociedad   eso es lo que son estas porquerias.,1,1
75,que estupidas las feminazis,1,1
76,Y por eso fracasarán estas feministas,1,1
77,El enfermo feminismo no me representa como mujer   el feminismo va a caee,1,1
78,El FEMINISMO no es BANDALISMO. Deberían estudiar bien el término feminismo y darle una buena aplicación.,1,1
79,Cuando se unen esta clase de mujeres. No ayudan sino perjudican,1,1
80,Feminismo igual a retroceso.,1,1
81,Tienen un lenguaje de bajeras y corrientes   un resentimiento espantoso   envidia   y sobre todo les falta Dios. Engendros del diablo. Y las dirije una ya entrenada en las estupidez y dirigente del infierno.,1,1
82,Pobres putas marimachas y además cogionas !!!,1,1
83,"Celebrando el día de la mujer y oyendo perreo   comprando boletos para #BadBunny donde solo son letras de ""canciones"" que denigran a las féminas. Convirtiéndose en asesinas de seres indefensos... ¡Feliz día ""mujeres""",1,1
84,Son manes aunque se vistan de viejas jejeje,1,1
85,Viejas pajeras. A saber cual es la comisión que se llevan para promover el aborto. La susodicha asesina   falleció por otra causa que no tiene nada que ver con el aborto que hizo,1,1
86,No se espera menos del feminismo   mintiendo sobre la muerte de @user.,1,1
87,Pues ahí si ya existido una candidatura de mujer para la presidencia que no haya sido del partido político que ellas las feministas quisieran es otro pisto inclusión laboral si existe no sé quejen la mujer en la política ya está incluida y en muchos ámbitos laborales,1,1
88,Y muchas de esas mujeres van a ir a ver a su conejo malo   para q las trate de Put@s y ella coreando sus canciones y gritando cada vez q lo hace. En fin la hipocresía en su máxima expresión.,1,1
89,Por suerte la mayoría de mujeres salvadoreñas no les cree a estás feminista.,1,1
90,Feministas ??? Lesbianas y maricas ??!! Poctaaaa!!! Que asco !!!,1,1
91,La hipocresía en sus consignas #VivasNosQueremos #NiUnaMenos es tal que insitan a las madres a matar a sus propias hijas desde el vientre. #FeminismoHipocrita #ElSalvadorEsProvida 🇸🇻💙#SialaVida,1,1
92,estas son un monto de feminazis descerebradas q no les interesa insultar a otras mujeres! Es una banda de locas q son manipuladas para dañar! Estos movimientos son nefastos! #NoALaIdeologiaDeGenero #NoALasFeminazis #NoAlLenguajeInclusivo,1,1
93,Las mujeres feministas son mujeres con próstata,1,1
94,Exacto   buen termino   yo nunca he visto que las han agredido. No solo por ser mujer no les puedes decir sus adjetivos   esa tontería del feminismo hace ver que solo por ser mujeres uno no les puede decir sus verdades. De hecho si quieren igualdad es igualdad en todo aspecto,1,1
95,Que pedo con las odia hombres o cualquier individuo peneportador jajsj,1,1
96,¿Femenino? En la bancada cyan hay de todo. Feministas   idólatras   ateas   mentirosas   vividoras de privilegios que se auto otorgan   narcisistas   etc.,1,1
97,La mayoría de feministas en El Salvador son más show que lucha por una vida más justas para las mujeres 🤷🏻 Se dijo y se tenía que decir.,1,1
98,No son feminista..son pendeja...as,1,1
99,Esas pedorras falta de hombre es que están,1,1
100,"Feminismo ""a-la-carte""   pero de los dos bandos eh.",1,1
101,Las cuerpas payasas mamierda jajaja,1,1
102,Porque no son feministas son activistas solo con escucharlas y ver su comportamiento dejan mucho que desear según ellas insultar a otras mujeres estuvo bien osea yo te puedo insultar pero tu no doble moral hipócritas vulgares ridículas no tendrán algo mejor que hacer,1,1
103,Kbrnaz revoltozas men !! Gentuza que Tambien yo me alegro de Verlas hacer esos desvergues por que la Poblacion Solo Observa y Ya Tiene Definido a Quien Seguir !!!! Y De Postre Insultando a Una Mujer que esta en Lo Correcto con su Argumento papa !!! Est@s son Basura de hdp,1,1
104,Esas no son feministas solo son un grupo de revoltosas   mal paridas   quedadas y lesbianas que necesitan marido o ponerse a trabajar. Sin fueran mis hijas ya las hubiera puesto en cinta   como decía mi abuela,1,1
105,La generacion de los ofendidos   las feminazis y los medios comunistoides y progres   vayanse a la reverenda.,1,1
106,no tenían que jugar nunca. Tendrían que prohibirlo. Estas feminazis   que quieren la igualdad,1,1
107,tipica fiminista con medio cerebro muerto,1,1
108,A ver feminista y porque no vas a la fiscalía a toparlo? ¿Tenés pruebas o no? Anda a toparlo y que se arte si es culpable. Sino   deja de joder,1,1
109,Dan asco las feministas radicales como tú   ni cuando matan a una mujer se ponen asi estas majes   funando a un 0te que le gusta llamar la atención.. sos un chiste mje.,1,1
110,Bueno señores   en cuanto termine el 8 y 9 de marzo   las feministas pasarán de luchar contra la misoginia para volver a la programación habitual de idolatrar la música misógina de Bad Bunny Se sabe,1,1
111,el feminismo quiere superar al hombre y pisoteralo    asi no llegaremos a nada,1,1
112,Estas mujeres feministas solo provocan violencia y división,1,1
113,Ahora resulta que las mujeres están marchando contra la violencia pero las violentas son ellas quienes son las violentas??? Respeten para que las respeten,1,1
114,"Con todo respeto, léase a usted misma.
Usted, mujer, feminista, justifica y defiende a un hombre que se hace pasar por ""niña"" para dejar toda la carga de crianza de hijos a su esposa.
¿Qué clase de feminismo practican ustedes?
Feminismo es defender la feminidad de la mujer.",1,1
115,¿Y  las feministas no se va a pronunciar por esto?  Por cierto el clan de “si tocas a una   tocas a todas” ¿todavía existe?,1,1
116,...Si ustedes son las brujas que mis ancestros no pudieron quemar   entonces yo seré el inquisidor que las perseguirá hasta verlas en llamas... ¡La única bruja que porta luz es aquella que arde en una hoguera! ¡Amén!,1,1
117,De nada sirve   aunque se lo lleven detenido al agresor   más noche ella misma le estará pagando el abogado y llevándole cena a la bartolina.,1,1
118,"Cuando sales por primera vez con la mamá luchona y le dice a la bendición “Hacele caso a tu papá sino no te va a celebrar tu cumpleaños""",1,1
119,Ver a las mujeres feministas es un chiste   creyendo que con la violencia   la fuerza y la prepotencia van a lograr algo,1,1
120,Ojala se llegue el día en el cual las mujeres en la política no se dediquen a tomarse fotos y videos y hacer comentarios bobos   que propongan con criterio propio leyes consultas con el pueblo y con la capacidad de debatir argumentativamente sus posturas,1,1
121,"Las leyes deben basarse en la justicia y la verdad   no respondiendo a una ideología anti-científica y fallida cómo la ideología de género!
",1,1
122,Lo que genera derechos es la vida   y también es la vida la que genera obligaciones. La justicia por su naturaleza pone límites   en cambio la ideología de género quita los límites,1,1
123,Ser permisivo es la moda en todo estrato o sector público y privado   el daño a la propiedad pública y privada no es libertad de expresion sino es libertinaje   la ideología de Género ha venido a incrementar la desigualdad para dividir y restar justicia social,1,1
124,Jajajaja maravilloso. Los hombres pueden disfrutar su sexualidad y una muñeca de plástico les ofrece miles de cosas. Y lo mejor   la muñeca jamás va a denunciar falsamente por acoso o violación.,1,1
125,Si meten con una se meten con todas decian las malqueridas en la campaña anterior.,1,1
126,Ustedes de @user son como la vicha ardida de septimo grado que nunca le hicieron caso y se quedo a inventar cosas.,1,1
127,Ardida vive la toxica ,1,1
128,Si tu pareja usa hilos bien socados por comodidad para ir a trabajar   y en esta cuarentena solo los calzones de abuela uso   date cuenta amigo,1,1
129,Creo que ella podría matar tu hambre y el de toda tu parentena   si habla por alguna huevona que mantiene en su casa   evalúe   porque seguro los calzones que usted le da   se los ven por otro lado.,1,1
130,Sí   ya la encontré   pero la quiero sin calzones.,1,1
131,Yo tengo ganas de decirle a esa gorda machorra que es un asco.,1,1
132,Aparte de vieja menopausica   lesbiana!!!,1,1
133,Esta @user es peor que vieja menopausica,1,1
134,El resentimiento y la frustración le estan agudizando la demencia menopausica,1,1
135,"Awwwwwwww"" menopausica exagerada hahahahahahahahaha",1,1
136,Ya esta loca esa maistra...demencia menopausica,1,1
137,Busca oficio   sólo de vieja chambrosa pone dedo  pasas. ,1,1
138,Está mal cogida al rato y le doy para que se este quieta,1,1
139,"Mal cogida estas vos",1,1
140,Feya la vieja esa,1,1
141,Si ya hizo la primera comunión   se va sin condón,1,1
142,Mujer frustrada mi ministra   ni diputada y enamorada hasta la médula de nuestro Presidente. Ese amor frustrado la volvio loca ya. Pobre mujercita   cómo irá a términar.,1,1
143,Bonita puede ser pero hay otras mujeres que valen más que ella.,1,1
144,Por lo menos un sugar Daddy seguro si tendrá.,1,1
145,Ya ira la mujer a llorar para que lo saquen   a la tipa le gusta el desorden y que él la trate mal.,1,1
146,Con la lástima lo sacará y le dará una santa pijiada   asi les gusta a algunas que las tengan de pendejas y golpeando   no hombre   que les pasa mujeres aviven,1,1
147,La mujer que verguio va ser la primera en pedir que lo dejen libre….,1,1
148,Ni el diablo te quiere besar. Hp.,1,1
149,Hermosas piernas,1,1
150,Bello cuerpaso BB hermosa,1,1
151,Que feya ese bagre.,1,1
152,Que nos importa lo que haga esta mona pizona.,1,1
153,Aborto es para evitar peligros para la mujer en gestacion y o por violacion no para q las pendejas anden culiando como putas,1,1
154,Mujeres pendejas. No saben ni lo que hacen   ni lo que dicen. Son pura ignorancia.,1,1
155,Deja los chambres para las mujeres y kuleros,1,1
156,Que Feas se ven las Mujeres Tatuadas ..,1,1
157,En verdad. Dios nuestro: ¿Por qué la mandaste sin cerebro?,1,1
158,¿TOPADA? Eso es piropo para alguien que sólo tiene una docena de neuronas. Ella es bruta.,1,1
159,Y entonces porque mandan esas fotos y no quieren que uno les mande un piropo   mejor no publiques basura.,1,1
160,Y después andan llorando cuando digo que la mujeres no saben estacionarse,1,1
161,Te vas a quedar a vestir santos,1,1
162,Las mujeres solo sirven para tener hijos,1,1
163,"¿No te da vergüenza que tus amigas todas son mamá y vos no?
",1,1
164,A qué hora el hijo? Aunque sea sola,1,1
165,Para qué putas le voy a pagar colegio si ya se va a endamar,1,1
166,Algún día te vas arrepentir de no tener hijos    vas a morir sola y triste,1,1
167,Para eso querias marido! Asi que servi de algo,1,1
168,Ya tenés un hijo   ya nadie te va a querer así,1,1
169,Solo las mujeres son fieles,1,1
170,Ahhh otro dato importante! Los últimos 10 minutos del documental   las participantes se chulonean para que la vean amiguitos   vale la pena al final escuchar tanta mentira y tanto que hablan las chicas ésas   pero son danesas y chulonas nada puede salir mal!,1,1
171,Hombres   ¿si o no las mujeres son más doble moral y el por qué?,1,1
172,Una iglesia de solo hombres es estupidez   ya que las mujeres son más espirituales por ser más sensibles en creencias en lo desconocido,1,1
173,Mis amigos ayer: Está mujer es otro hombre más   solo boxer le falta usar y que le gusten las mujeres,1,1
174,Las mujeres deberían estar indignadas pero no creo porque ellas se odian entre sí también,1,1
175,Si me dices que tengo privilegio por ser hombre   tú misma estás aceptando la diferencia entre hombres y mujeres. Somos lo mismo   solo que a unos les permiten dañar y a las otras callar. Eso hay que cambiarlo. ¿Qué harías tú?,1,1
176,Por lo general   las que se sienten ofendidas son las primeras en agredir   seamos imparciales   el hecho de ser mujeres no les da derecho a ofender   si quieren respeto ganenselo respetando uds,1,1
177,El coquero y la zorra en guerra?,1,1
178,"- ¡Pelea de mancos! @user y la Colocha del @user se tiran indirectas en Twitter
- Un mes les doy para que se la ande trasquilando el bolo mañoso ya verán",1,1
179,Ahuevos se le ve bien esa tanga a esa vieja,1,1
180,¿Y que no esta gorda?,1,1
181,Parece que concentrado le dieran en la asamblea,1,1
182,No es gorda   mis respetos a las gorditas   esta es chiboluda   prellejos con grasa.,1,1
183,Puta gordita y ni bailar puede. Baila mejor mi abuelita   diputada ridícula   por más cirugias que se haga ya no se arregla la cara se TRAVESTI que tiene,1,1
184,Esa peppa pig anda ronsera,1,1
185,Que propongan estas diputadas que se les quite la mitad de sueldo para ser donado ESTAN MUY GORDAS,1,1
186,Gorda bailadora   don @usuario sí sabe,1,1
187,Gorda fodonga   que trabaje de verdad tal vez así logra reducir ese mondongo que tiene de tanto jartarse los impuestos porque ese atolero ni con baile ni ejercicios!,1,1
188,Hace una mariscada y le reparte a todos   menos a las huevonas a las que no les gusta cocinar,1,1
189,Cásense con la que tenga metas profesionales   pendejas huevonas que quieren que las mantengan hay un vergo.,1,1
190,Andan buscando el amor de su vida y no saben planchar una pinche camisa... Pero si con el cable de la plancha las van a madrear por huevonas,1,1
191,Reparte sopas Maruchan a las huevonas a las que no les gusta cocinar,1,1
192,Hay unas huevonas que ni para ellas mismas cocinan   pero no   no le vas a pegar a una mujer por esa ni por ninguna otra razón,1,1
193,Haraganas   revoltosas   abortistas que no tienen nada que hacer,1,1
194,Creo que ya es tiempo de que esa ley sea considerada inconstitucional por violentar el derecho de igualdad y ser mal utilizada para cometer este tipo de atropellos escudadas en una Ley como esa,1,1
195,Una ley inconstitucional que violenta los derechos de los hombres de acuerdo a la igualdad de genero   creada para justificar y promover el irrespeto,1,1
196,Este video es prueba suficiente para actuar legalmente   la violencia de género no es solo para mujeres y ya es tiempo de respetar también los derechos de los hombres,1,1
197,Es que aquí el feminismo lo usan para fines políticos las hienas de la asamblea. El feminismo debe de respetarse porque es la forma de pensar de mujeres a nivel mundial y se base en una batalla de resentimientos contra el género masculino. Por los hombres hasta hoy fuimos cavernícolas,1,1
198,El día del niño incluye varones y hembras   no tenían que inventarse un día de la niña   ojalá nadie les haga caso con esa burrada.,1,1
199,Fakiu   nadie les cree. Estúpidas,1,1
200,Y no que el @user y @user no estaban encontra del aborto.... Como es que ahora salen que estan a favor.... Hipócritas.... Solo por ganar votos de las feministas radicales.... Mejoren las leyes en contra de los violadores mejor.,1,1
201,Van a decir que como jodo con lo mismo. Me tome el tiempo de leer letras de dos o tres canciones del conejo malo y no alcanzo a comprender como un papá o una mamá dejan que sus hijos escuchen letras asi. Las mujeres feministas no tienen problemas con estas letras ¿? en serio ¿?,1,1
202,"Como decía Jane Galvin   activista y humorista: ""No hace falta ser antihombre para ser promujer"".",1,1
203,Yo soy feminista. Ayudo en casa,1,1
204,Ya no se acepta ni un piropo,1,1
205,Ahora todo es machismo. No se puede hacer ni un chiste,1,1
206,La mató por celos,1,1
207,Deberías ser un poco más femenina,1,1
208,Fue un crimen pasional,1,1
209,No hay mujer que sea fea   el arreglo personal y la vestimenta   ayuda a qué se vean lindas,1,1
210,Así es   una mujer inteligente   no necesita ser provocativas.,1,1
211,"El caso de Flor   el marido y el primo  según las noticias podría ser pasional. Se presume había una relación sentimental entre el marido y el primo de este.",1,1
212,Diaculpá   no pretendía hacer que te bajara la regla con mi comentario,1,1
213,Lo peor de todo   es que fuese ganancia si sólo sucediera una vez al mes   conozco un par que creo que la andan todo el mes   la menstruación como forma de vida. ¡Que triste realmente!,1,1
214,El patriarcado es hermoso,1,1
215,Y que es lo sorprendente? Me están diciendo que son tan débiles que se le debe dedicar notas enteras   para hacer notar que van a trabajar   como MILES de hombres trabajan día a día... Bueno   el patriarcado lo vuelve hacer,1,1
216,"No es que todo lo quieren solucionar con que el hombre es el ""machista""   hubo agresión de ambas personas y el señor comenzó primero.",1,1
217,Creo que aquí también aplica que el hombre llega hasta donde la mujer lo permite   no puedo creer como la insulta y ella se disculpa!,1,1
218,No hay que ser agresivos   hay que ser normales   tampoco hay que ser frágiles   cuando eres un frágil te manipulan y te usan comprobado luego te búscan el sustituto,1,1
219,Exacto. No estaba en sus zapatos   eso habría hecho yo. Mi opinión va más alla: ¿eres una mujer que tu novio te está violentando? ¡déjalo! Ten la fortaleza y ¡déjalo! Y de paso denuncialo.,1,1
220,El caso acá es que tenemos un psicópata maniático violento.,1,1
221,Mujeres por favor denunciar los maltratos de casa   recuerden el hombre llega hasta donde la mujer te lo permite.,1,1
222,La que no enseña no vende,1,1
223,Como siempre las mujeres   solo defienden lo que les conviene   a la Voz de la Mujer lo que le importa es quien dice el comentario   no salvaguardar a las niñas del centro escolar,1,1
224,No leo a las féminas opinando del tema de violencia de anoche    🤔🤔🤔🤔🤔 se quedaron sin internet .... ósea me gustaría que la despepitaran así como a Silva ....,1,1
225,Hoy leía que falta empatia hacia las féminas de parte de los hombres en el transporte publico    yo creo que esta en la educación en casa. Estoy seguro que habemos muchos hombres que cedemos el asiento a un mujer con bebe en brazos o que es anciana por ejemplo.,1,1
226,Creo q una mirada lujuriosa y pervertida del sexo masculino hacia el sexo opuesto es inofensiva a comparación de la mirada envidiosa y con odio que levantan algunas féminas de su propio sexo....,1,1
227,Deberían informar que el ciclo menstrual de la féminas se altera con el encierro.,1,1
228,Feminas no se pronuncian por sus semejantes necesitadas,1,1
229,Usted siempre debe ser ese hombre respetable en su casa. Yo no quiero ver a esos machos   barriendo   trapeando…¡nooo! ¿Cómo es posible?,1,1
230,El rol del macho alfa de proveer   de cuidar   de amar a su familia no lo entienden. No entienden en orgullo de un hombre de hacer.,1,1
231,Te aseguro q si lo hace ya deja de ser divertido y se convierte en Violencia intrafamiliar   yuca pero es real cuando una mujer golpea es un chiste pero si un hombre levanta la mano preso...,1,1
232,Caballeros   las salvadoreñas son hermosas   pero sin duda alguna   Santa Ana es donde encontrará muchas mujeres bellas   Créanme que en la ciudad morena abundan 😍    amigo   talvez el amor lo va a encontrar en otro municipio... Fuente   Créanme.... Me pasó,1,1
233,Un pacto es de hombres y hay que cumplirlos y si lo hicieron con papel y firmas   es de enseñar esa traición   porque es una vileza el no cumplir un pacto de caballeros   porque deja de ser un hombre el que no lo cumple.,1,1
234,Pero que no ande de exquisita haciéndose la ofendida como si ella fuera la esposa   o sea que se ubique vea,1,1
235,Un hombre puede estar muy enamorado y querer ser fiel..pero si una mujer se le chulonea se le olvida lo enamorado y fiel..nieguenlo!!,1,1
236,Uff ya hacia falta de ver fotos de ese culito tan rico que se maneja su esposa,1,1
237,Exijo la expulsion de esa policia   por grosera y fea.,1,1
238,Sigo sin entender que pretende ese movimiento mundial de destruir la masculinidad.,1,1
239,"Escuchá música de hombrecito   crack.
Saludos.",1,1
240,La familia es mamá   papá e hijos...no hay diversidad de roles son únicos   el resto es acomodar lo que queremos,1,1
241,Te aseguro que si el hombre fuese soltero   ya anduvieran perriando por ofrecidas   ahí sería su príncipe azul.,1,1
242,Ojalá que la mujer no se vaya hacer para atrás diciendo que este animal va a cambiar y no quiera demandarlo por miedo,1,1
243,Ya van a brincar y atacarme por machirulo,1,1
244,Si uno de padre deja que las hijas se vistan estrabagantes   es nuestra responsabilidad   que a nuestras hijas las respeten. La vida de hoy es diferente ala de años atras. De nosotros depende   que nuestra niñez no sea abusada ni maltratada.,1,1
245,Queeeeee???? Ahora a empujar la ideología de género? Osea todos debemos hacer lo mismo y ganar lo mismo? Por Dios! Que les pasa a ustedes los jesuitas?,1,1
246,Vuelvo y lo repito   igualdad de oportunidades no significa igualdad de resultados! Es cómo las cuotas de género   no sirven!,1,1
247,La mujer ha sido creada para amarla   cuidarla y protegerla..!,1,1
248,El periodismo para televisión es tan lindo   pero las mujeres estamos tan expuestas a la instrumentalización.,1,1
